POS,Nombre d'apparitions,Frequence d'apparition
n(sing),55,0.19573
adp(),41,0.14591
"v(participle,past)",20,0.07117
adj(),19,0.06762
pron(poss),15,0.05338
art(def),14,0.04982
adv(gener),13,0.04626
"v(fin,pres,aux_cop)",13,0.04626
conj(coord),11,0.03915
n(prop),10,0.03559
"pron(pers,3,sing)",9,0.03203
v(infin),8,0.02847
n(plu),8,0.02847
"pron(pers,3,plu)",5,0.01779
"v(fin,past,aux_cop)",4,0.01423
adv(neg),3,0.01068
conj(subord),3,0.01068
"v(fin,past,lex)",3,0.01068
"pron(pers,1,sing)",3,0.01068
pronadv(prep),2,0.00712
v(imp),2,0.00712
adv(dem),2,0.00712
"v(fin,pres,lex)",2,0.00712
"pron(pers,2,sing)",2,0.00712
art(indef),2,0.00712
pronadv(dem),1,0.00356
pron(indef),1,0.00356
"pron(pers,2,sing)+pron(pers,3,sing)",1,0.00356
conj(comp),1,0.00356
adv(inter),1,0.00356
adv(rel),1,0.00356
num(card),1,0.00356
adp()+art(def),1,0.00356
pron(dem),1,0.00356
num(indef),1,0.00356
pronadv(rel),1,0.00356
adv(indef),1,0.00356
