POS,Nombre d'apparitions,Frequence d'apparition
n(sing),40,0.2
adp(),27,0.135
conj(coord),16,0.08
"v(fin,pres,lex)",12,0.06
n(plu),12,0.06
"v(participle,past)",9,0.045
adv(gener),8,0.04
art(def),8,0.04
adj(),8,0.04
pron(poss),8,0.04
"pron(pers,3,sing)",6,0.03
"v(fin,pres,aux_cop)",5,0.025
adv(neg),5,0.025
v(infin),5,0.025
art(indef),4,0.02
n(prop),4,0.02
"pron(refl,3,sing)",4,0.02
conj(subord),2,0.01
"pron(pers,1,sing)",2,0.01
"v(fin,past,aux_cop)",2,0.01
pron(indef),2,0.01
pron(rel),2,0.01
"pronadv(rel)+pron(pers,3,sing)",1,0.005
v(imp),1,0.005
pronadv(pers)+pron(rel),1,0.005
art(def)+n(sing),1,0.005
"pron(pers,2,plu)",1,0.005
v(prtcl),1,0.005
"v(fin,past,lex)",1,0.005
num(indef),1,0.005
"pron(pers,1,sing)+adv(neg)",1,0.005
