POS,Nombre d'apparitions,Frequence d'apparition
n(sing),49,0.16554
adv(gener),24,0.08108
adp(),23,0.0777
adj(),20,0.06757
conj(coord),17,0.05743
"v(fin,pres,lex)",15,0.05068
art(def),14,0.0473
pron(poss),12,0.04054
"pron(pers,1,sing)",10,0.03378
art(indef),10,0.03378
v(infin),10,0.03378
n(prop),8,0.02703
"v(fin,pres,aux_cop)",7,0.02365
adv(neg),7,0.02365
"v(participle,past)",6,0.02027
"pron(pers,3,sing)",6,0.02027
v(imp),6,0.02027
adv(dem),5,0.01689
"v(fin,past,lex)",5,0.01689
"pron(pers,2,plu)",4,0.01351
n(plu),4,0.01351
pron(dem),3,0.01014
conj(subord),3,0.01014
art(def)+n(sing),3,0.01014
pronadv(dem),3,0.01014
pron(rel),2,0.00676
pron(inter),2,0.00676
conj(comp),2,0.00676
pron(indef),2,0.00676
adp()+art(def),2,0.00676
interj(),2,0.00676
"v(fin,past,aux_cop)",2,0.00676
misc(),2,0.00676
num(indef),1,0.00338
"pron(pers,3,sing)+pron(indef)",1,0.00338
"pron(pers,3,plu)",1,0.00338
adv(resum),1,0.00338
"pron(pers,3,sing)+conj(subord)",1,0.00338
pronadv(prep),1,0.00338
