POS,Nombre d'apparitions,Frequence d'apparition
n(sing),36,0.13043
"pron(pers,1,sing)",33,0.11957
v(infin),26,0.0942
adp(),22,0.07971
"v(fin,pres,aux_cop)",20,0.07246
adv(gener),16,0.05797
conj(coord),13,0.0471
"v(fin,past,aux_cop)",9,0.03261
pron(poss),8,0.02899
adj(),8,0.02899
"v(fin,pres,lex)",7,0.02536
adv(neg),5,0.01812
interj(),5,0.01812
"v(participle,past)",5,0.01812
conj(subord),5,0.01812
n(plu),5,0.01812
adv(dem),5,0.01812
pron(indef),4,0.01449
num(indef),4,0.01449
pron(dem),4,0.01449
art(def)+adp(),3,0.01087
"pron(refl,1,sing)",3,0.01087
art(def)+n(sing),3,0.01087
"pron(pers,2,plu)",3,0.01087
"pron(pers,3,sing)",3,0.01087
"pron(pers,3,sing)+v(fin,pres,aux_cop)",3,0.01087
art(indef),2,0.00725
"v(fin,past,lex)",2,0.00725
art(def),2,0.00725
n(prop),2,0.00725
"conj(comp)+pron(pers,3,sing)",1,0.00362
pron(rel),1,0.00362
pronadv(rel),1,0.00362
"pron(pers,3,plu)",1,0.00362
adv(inter),1,0.00362
"adv(inter)+pron(pers,3,sing)",1,0.00362
"conj(subord)+pron(pers,3,sing)",1,0.00362
"pron(pers,3,sing)+pron(pers,1,sing)",1,0.00362
pron(inter),1,0.00362
adp()+art(def),1,0.00362
