POS,Nombre d'apparitions,Frequence d'apparition
n(sing),153,0.16173
adv(gener),65,0.06871
adp(),54,0.05708
adj(),47,0.04968
pron(poss),45,0.04757
"v(participle,past)",44,0.04651
"pron(pers,1,sing)",43,0.04545
v(infin),41,0.04334
"v(fin,pres,aux_cop)",39,0.04123
"v(fin,pres,lex)",39,0.04123
conj(coord),34,0.03594
"pron(pers,2,sing)",30,0.03171
art(def),29,0.03066
punc(excl),25,0.02643
punc(quest),22,0.02326
adv(dem),19,0.02008
v(imp),19,0.02008
"pron(pers,2,plu)",17,0.01797
adv(neg),16,0.01691
interj(),15,0.01586
"pron(pers,3,sing)",14,0.0148
n(plu),14,0.0148
n(prop),11,0.01163
art(indef),11,0.01163
pron(dem),10,0.01057
"v(fin,past,aux_cop)",9,0.00951
conj(subord),8,0.00846
num(indef),6,0.00634
pron(indef),6,0.00634
art(def)+adp(),5,0.00529
num(card),5,0.00529
pronadv(rel),4,0.00423
pronadv(dem),4,0.00423
pron(rel),4,0.00423
misc(),4,0.00423
"v(fin,past,lex)",3,0.00317
pronadv(prep),3,0.00317
adv(inter),2,0.00211
adp()+art(def),2,0.00211
v(prtcl),2,0.00211
"pron(pers,1,plu)",2,0.00211
conj(comp),2,0.00211
adv(resum),2,0.00211
adv(),2,0.00211
"v(fin,pres,lex)+pron(pers,3,sing)",1,0.00106
"pron(refl,3,sing)",1,0.00106
"v(fin,past,aux_cop)+pron(pers,3,sing)",1,0.00106
"pron(refl,2,sing)",1,0.00106
"pron(pers,3,sing)+v(fin,pres,aux_cop)",1,0.00106
art(def)+adj(),1,0.00106
adv(rel),1,0.00106
"pron(pers,3,plu)",1,0.00106
"v(participle,pres)",1,0.00106
"pron(pers,3,sing)+conj(subord)",1,0.00106
"v(infin,subs)",1,0.00106
art(def)+n(sing),1,0.00106
num(ord),1,0.00106
adv(dem)+conj(coord),1,0.00106
"pron(pers,3,sing)+pron(pers,3,sing)",1,0.00106
