POS,Nombre d'apparitions,Frequence d'apparition
n(sing),70,0.18817
adp(),35,0.09409
"v(fin,pres,lex)",31,0.08333
conj(coord),25,0.0672
adj(),23,0.06183
"pron(pers,3,sing)",23,0.06183
adv(gener),22,0.05914
pron(poss),14,0.03763
"v(fin,pres,aux_cop)",13,0.03495
adv(neg),13,0.03495
v(infin),11,0.02957
art(indef),11,0.02957
art(def),11,0.02957
n(prop),8,0.02151
n(plu),7,0.01882
"v(participle,past)",7,0.01882
v(imp),4,0.01075
interj(),4,0.01075
num(indef),4,0.01075
pron(rel),3,0.00806
conj(subord),3,0.00806
pron(dem),3,0.00806
"pron(refl,3,sing)",3,0.00806
pron(indef),2,0.00538
adv(inter),2,0.00538
art(def)+adp(),2,0.00538
"v(fin,past,lex)",2,0.00538
adv(dem),2,0.00538
adv(resum),2,0.00538
adv(indef),1,0.00269
"v(participle,pres)",1,0.00269
adp()+art(def),1,0.00269
art(def)+adj(),1,0.00269
"v(fin,past,aux_cop)",1,0.00269
"pron(pers,3,plu)",1,0.00269
"pron(dem)+v(fin,pres,aux_cop)",1,0.00269
"v(fin,pres,lex)+pron(pers,3,sing)",1,0.00269
conj(comp),1,0.00269
n(sing)+art(def),1,0.00269
pronadv(prep),1,0.00269
pron(inter),1,0.00269
