POS,Nombre d'apparitions,Frequence d'apparition
n(sing),55,0.19231
adp(),29,0.1014
adj(),16,0.05594
pron(poss),15,0.05245
adv(gener),15,0.05245
"v(fin,pres,aux_cop)",14,0.04895
art(def),14,0.04895
"v(fin,pres,lex)",13,0.04545
"pron(pers,3,sing)",12,0.04196
"pron(pers,2,plu)",9,0.03147
n(plu),7,0.02448
conj(coord),7,0.02448
"v(participle,past)",6,0.02098
v(infin),6,0.02098
adv(neg),6,0.02098
adv(inter),6,0.02098
pron(rel),5,0.01748
interj(),5,0.01748
adv(dem),4,0.01399
pron(inter),4,0.01399
art(indef),4,0.01399
num(indef),3,0.01049
adv(resum),3,0.01049
v(imp),3,0.01049
conj(subord),3,0.01049
"v(fin,past,lex)",3,0.01049
n(prop),3,0.01049
"pron(pers,1,sing)",2,0.00699
art(def)+adp(),1,0.0035
art(def)+pron(dem),1,0.0035
misc(),1,0.0035
"pron(refl,3,plu)",1,0.0035
pron(dem),1,0.0035
"pron(refl,3,sing)",1,0.0035
punc(quest),1,0.0035
adp()+art(def),1,0.0035
"pron(pers,2,sing)",1,0.0035
"v(fin,past,aux_cop)",1,0.0035
n(sing)+adp(),1,0.0035
art(indef)+adp(),1,0.0035
"pron(pers,1,plu)",1,0.0035
pron(indef),1,0.0035
