POS,Nombre d'apparitions,Frequence d'apparition
n(sing),136,0.17503
adp(),61,0.07851
adv(gener),56,0.07207
art(def),41,0.05277
adj(),39,0.05019
"v(fin,pres,lex)",38,0.04891
conj(coord),34,0.04376
n(plu),34,0.04376
"v(fin,pres,aux_cop)",33,0.04247
v(infin),27,0.03475
adv(neg),27,0.03475
"v(participle,past)",21,0.02703
"pron(pers,3,sing)",20,0.02574
pron(poss),19,0.02445
pron(indef),17,0.02188
"pron(pers,1,sing)",15,0.01931
n(prop),15,0.01931
adv(dem),13,0.01673
"pron(pers,2,plu)",11,0.01416
art(indef),10,0.01287
conj(subord),10,0.01287
v(imp),9,0.01158
"v(fin,past,lex)",9,0.01158
interj(),8,0.0103
pron(dem),6,0.00772
"pron(pers,2,sing)",6,0.00772
"v(fin,past,aux_cop)",5,0.00644
art(def)+adp(),5,0.00644
num(indef),5,0.00644
adp()+art(def),4,0.00515
"pron(pers,3,plu)",4,0.00515
"pron(pers,1,plu)",4,0.00515
num(card),3,0.00386
pronadv(prep),2,0.00257
misc(),2,0.00257
pronadv(dem),2,0.00257
pron(rel),2,0.00257
"pron(pers,3,sing)+conj(subord)",2,0.00257
pronadv(rel),2,0.00257
adv(resum),2,0.00257
"pron(rel)+pron(pers,3,sing)",1,0.00129
n(sing)+art(def),1,0.00129
"v(fin,past,lex)+adv(gener)",1,0.00129
art(def)+n(sing),1,0.00129
"v(fin,pres,aux_cop)+pron(pers,2,sing)",1,0.00129
"pron(pers,3,sing)+adv(neg)",1,0.00129
"v(participle,pres)",1,0.00129
punc(quest),1,0.00129
adv(inter),1,0.00129
pron(inter),1,0.00129
"v(fin,pres,lex)+pron(pers,3,sing)",1,0.00129
"pron(pers,3,sing)+v(fin,pres,lex)",1,0.00129
"pron(pers,2,plu)+v(fin,pres,aux_cop)",1,0.00129
"pron(pers,1,sing)+adv(neg)",1,0.00129
"pron(pers,1,plu)+pron(pers,3,sing)",1,0.00129
"pron(pers,3,sing)+pron(pers,1,sing)+v(fin,past,lex)",1,0.00129
adv(),1,0.00129
adv(indef),1,0.00129
