POS,Nombre d'apparitions,Frequence d'apparition
n(sing),63,0.14157
punc(hyphen),49,0.11011
"pron(pers,1,sing)",33,0.07416
adp(),24,0.05393
"v(fin,pres,lex)",23,0.05169
"v(fin,pres,aux_cop)",22,0.04944
adj(),21,0.04719
adv(gener),21,0.04719
pron(poss),18,0.04045
art(def),17,0.0382
v(infin),15,0.03371
v(imp),12,0.02697
n(prop),12,0.02697
conj(coord),11,0.02472
n(plu),10,0.02247
"v(participle,past)",8,0.01798
adv(neg),7,0.01573
pron(indef),7,0.01573
art(indef),6,0.01348
"pron(pers,3,sing)",5,0.01124
misc(),4,0.00899
adv(dem),4,0.00899
pron(rel),4,0.00899
pron(dem),4,0.00899
num(card),4,0.00899
"pron(pers,1,plu)",4,0.00899
punc(quest),4,0.00899
interj(),3,0.00674
pronadv(dem),3,0.00674
adv(inter),3,0.00674
"pron(pers,2,plu)",2,0.00449
conj(subord),2,0.00449
"pron(pers,3,plu)",2,0.00449
art(def)+n(sing),2,0.00449
punc(colon),1,0.00225
punc(hyph),1,0.00225
art(def)+pron(rel),1,0.00225
"pron(pers,1,sing)+adv(neg)",1,0.00225
"pron(pers,3,sing)+v(fin,pres,aux_cop)",1,0.00225
v(prtcl),1,0.00225
"pron(refl,3,sing)",1,0.00225
adv(rel),1,0.00225
"v(fin,past,aux_cop)+pron(pers,3,sing)",1,0.00225
"pron(pers,2,sing)",1,0.00225
misc(latin),1,0.00225
conj(comp),1,0.00225
adp()+art(def),1,0.00225
pron(inter),1,0.00225
pronadv(inter),1,0.00225
art(def)+adp(),1,0.00225
