POS,Nombre d'apparitions,Frequence d'apparition
n(sing),48,0.29268
"v(fin,pres,lex)",14,0.08537
adp(),11,0.06707
v(infin),10,0.06098
"v(fin,pres,aux_cop)",8,0.04878
adv(gener),7,0.04268
art(def),7,0.04268
adj(),6,0.03659
"pron(pers,1,plu)",6,0.03659
adv(neg),6,0.03659
pron(poss),6,0.03659
conj(coord),5,0.03049
misc(),4,0.02439
"pron(pers,3,sing)",4,0.02439
pron(indef),3,0.01829
"v(participle,past)",2,0.0122
num(indef),2,0.0122
v(imp),2,0.0122
pron(dem),2,0.0122
conj(subord),2,0.0122
"v(fin,past,lex)",1,0.0061
art(indef),1,0.0061
adp()+art(def),1,0.0061
pron(inter),1,0.0061
adv(dem),1,0.0061
"pron(pers,1,sing)",1,0.0061
"pron(refl,3,sing)",1,0.0061
"pron(pers,2,plu)",1,0.0061
pronadv(dem),1,0.0061
