POS,Nombre d'apparitions,Frequence d'apparition
n(sing),47,0.18288
art(indef),19,0.07393
"v(fin,pres,lex)",19,0.07393
adj(),19,0.07393
adp(),14,0.05447
conj(coord),14,0.05447
adv(gener),13,0.05058
n(prop),10,0.03891
"pron(pers,2,plu)",10,0.03891
adv(neg),9,0.03502
conj(subord),8,0.03113
"v(fin,pres,aux_cop)",7,0.02724
"pron(pers,3,sing)",6,0.02335
v(infin),6,0.02335
pron(poss),6,0.02335
"v(participle,past)",5,0.01946
v(imp),4,0.01556
"pron(pers,3,plu)",4,0.01556
art(def),4,0.01556
pronadv(dem),4,0.01556
n(plu),3,0.01167
interj(),3,0.01167
pron(indef),2,0.00778
pron(dem),2,0.00778
adv(dem),2,0.00778
"v(fin,past,lex)",2,0.00778
conj(comp),2,0.00778
"pron(pers,1,sing)",2,0.00778
num(card),2,0.00778
pron(rel),1,0.00389
"v(fin,pres,aux_cop)+pron(pers,3,sing)",1,0.00389
"pron(pers,3,sing)+v(fin,pres,aux_cop)",1,0.00389
misc(),1,0.00389
"pron(refl,3,sing)",1,0.00389
pron(inter),1,0.00389
"pron(pers,3,sing)+interj()",1,0.00389
pronadv(rel),1,0.00389
adp()+art(def),1,0.00389
