POS,Nombre d'apparitions,Frequence d'apparition
n(sing),22,0.18966
art(def),12,0.10345
"v(fin,pres,lex)",11,0.09483
adv(gener),10,0.08621
adp(),9,0.07759
adj(),8,0.06897
adv(neg),5,0.0431
conj(coord),4,0.03448
n(prop),4,0.03448
misc(),4,0.03448
pron(poss),3,0.02586
"pron(pers,2,plu)",3,0.02586
"pron(pers,1,sing)",2,0.01724
n(plu),2,0.01724
v(infin),2,0.01724
pron(rel),2,0.01724
interj(),2,0.01724
art(indef),2,0.01724
n(sing)+art(def),1,0.00862
num(indef),1,0.00862
"v(fin,pres,aux_cop)",1,0.00862
conj(comp),1,0.00862
"v(fin,past,lex)",1,0.00862
pron(dem),1,0.00862
"pron(pers,2,sing)",1,0.00862
v(imp),1,0.00862
"pron(pers,3,plu)",1,0.00862
