POS,Nombre d'apparitions,Frequence d'apparition
n(sing),47,0.17029
adp(),22,0.07971
"v(fin,pres,lex)",22,0.07971
pron(poss),16,0.05797
"pron(pers,1,sing)",15,0.05435
adv(gener),14,0.05072
v(infin),12,0.04348
conj(coord),12,0.04348
art(def),12,0.04348
"pron(pers,2,plu)",10,0.03623
adj(),10,0.03623
n(plu),9,0.03261
"v(fin,pres,aux_cop)",9,0.03261
num(indef),5,0.01812
"pron(pers,3,sing)",5,0.01812
conj(subord),5,0.01812
pron(rel),4,0.01449
v(imp),4,0.01449
"v(participle,past)",4,0.01449
adv(neg),4,0.01449
"v(fin,past,lex)",4,0.01449
n(prop),4,0.01449
adv(dem),3,0.01087
conj(comp),3,0.01087
interj(),3,0.01087
misc(),3,0.01087
"pron(pers,2,sing)",2,0.00725
pronadv(rel),2,0.00725
pronadv(dem),2,0.00725
adv(inter),1,0.00362
punc(quest),1,0.00362
"v(fin,past,aux_cop)+pron(pers,3,sing)",1,0.00362
num(card),1,0.00362
adv(resum),1,0.00362
"pron(pers,1,plu)",1,0.00362
"pron(pers,3,sing)+pron(indef)",1,0.00362
"pron(poss,2,sing)",1,0.00362
adp()+art(def),1,0.00362
