POS,Nombre d'apparitions,Frequence d'apparition
n(sing),36,0.2
v(infin),18,0.1
adv(gener),15,0.08333
"v(fin,pres,aux_cop)",13,0.07222
adj(),12,0.06667
adp(),11,0.06111
conj(coord),7,0.03889
pron(poss),6,0.03333
art(def),6,0.03333
"v(fin,pres,lex)",5,0.02778
v(imp),4,0.02222
"pron(pers,1,sing)",4,0.02222
"pron(refl,2,sing)",4,0.02222
adv(neg),4,0.02222
"pron(pers,2,sing)",3,0.01667
art(indef),3,0.01667
pron(dem),3,0.01667
"v(participle,past)",3,0.01667
n(plu),2,0.01111
"pron(pers,3,sing)",2,0.01111
adv(dem),2,0.01111
punc(quest),2,0.01111
n(sing)+art(def),2,0.01111
"pron(pers,3,sing)+v(fin,pres,aux_cop)",2,0.01111
conj(comp),1,0.00556
conj(subord),1,0.00556
"v(fin,past,aux_cop)",1,0.00556
pron(indef),1,0.00556
pron(rel),1,0.00556
pronadv(dem),1,0.00556
pronadv(rel),1,0.00556
n(prop),1,0.00556
adv(inter),1,0.00556
num(indef),1,0.00556
"pron(pers,2,plu)",1,0.00556
