POS,Nombre d'apparitions,Frequence d'apparition
n(sing),40,0.19704
v(infin),20,0.09852
adp(),18,0.08867
adv(gener),17,0.08374
adj(),16,0.07882
"v(fin,pres,lex)",13,0.06404
"v(fin,pres,aux_cop)",10,0.04926
conj(coord),9,0.04433
art(def),8,0.03941
n(plu),6,0.02956
"pron(pers,1,plu)",6,0.02956
pron(poss),4,0.0197
n(prop),4,0.0197
"v(participle,past)",4,0.0197
adv(dem),3,0.01478
adv(neg),3,0.01478
adp()+art(def),2,0.00985
pron(dem),2,0.00985
"pron(pers,2,sing)",2,0.00985
art(indef),2,0.00985
pron(rel),2,0.00985
v(imp),1,0.00493
num(indef),1,0.00493
"v(fin,past,lex)",1,0.00493
conj(subord),1,0.00493
"pron(pers,1,sing)",1,0.00493
"pron(pers,3,plu)",1,0.00493
"pron(pers,3,sing)+v(fin,pres,aux_cop)",1,0.00493
pron(indef),1,0.00493
art(def)+adp(),1,0.00493
conj(comp),1,0.00493
interj(),1,0.00493
num(rod),1,0.00493
