POS,Nombre d'apparitions,Frequence d'apparition
n(sing),49,0.21212
pron(poss),18,0.07792
adp(),18,0.07792
v(infin),15,0.06494
adv(gener),14,0.06061
"v(fin,pres,lex)",11,0.04762
"v(fin,pres,aux_cop)",11,0.04762
n(prop),10,0.04329
adj(),10,0.04329
conj(coord),9,0.03896
art(def),7,0.0303
"pron(pers,1,sing)",6,0.02597
art(indef),6,0.02597
pron(rel),5,0.02165
n(plu),5,0.02165
"pron(pers,3,sing)",5,0.02165
interj(),5,0.02165
adv(neg),3,0.01299
num(indef),3,0.01299
"pron(pers,3,plu)",2,0.00866
v(imp),2,0.00866
adv(dem),2,0.00866
"pron(pers,2,plu)",2,0.00866
pron(indef),2,0.00866
pronadv(dem),1,0.00433
"v(fin,past,lex)",1,0.00433
punc(quest),1,0.00433
"pron(pers,2,plu)+v(fin,pres,lex)",1,0.00433
pron(inter),1,0.00433
art(def)+n(sing),1,0.00433
pronadv(rel),1,0.00433
misc(),1,0.00433
pron(dem),1,0.00433
"pron(pers,1,sing)+adv(neg)",1,0.00433
adv(indef),1,0.00433
