POS,Nombre d'apparitions,Frequence d'apparition
n(sing),64,0.17112
adp(),35,0.09358
conj(coord),29,0.07754
pron(poss),28,0.07487
adv(gener),25,0.06684
adj(),23,0.0615
v(infin),17,0.04545
"v(fin,pres,aux_cop)",15,0.04011
"v(participle,past)",13,0.03476
n(plu),13,0.03476
adv(dem),9,0.02406
"v(fin,pres,lex)",9,0.02406
"pron(pers,3,sing)",8,0.02139
"pron(pers,1,sing)",7,0.01872
"v(fin,past,aux_cop)",6,0.01604
interj(),6,0.01604
art(def),6,0.01604
num(indef),6,0.01604
pron(rel),4,0.0107
conj(subord),4,0.0107
adv(neg),4,0.0107
"pron(pers,1,plu)",4,0.0107
n(prop),4,0.0107
v(imp),4,0.0107
"pron(pers,2,plu)",3,0.00802
"pron(pers,3,sing)+v(fin,pres,aux_cop)",3,0.00802
"pron(pers,2,sing)",3,0.00802
pron(indef),2,0.00535
misc(),2,0.00535
"pron(pers,3,plu)",2,0.00535
art(def)+adp(),1,0.00267
"v(fin,past,lex)",1,0.00267
"v(participle,pres)",1,0.00267
conj(subord)+pron(indef),1,0.00267
pronadv(dem),1,0.00267
n(sing)+adj(),1,0.00267
"pron(pers,3,sing)+pron(indef)",1,0.00267
"pron(pers,3,sing)+pron(pers,3,plu)",1,0.00267
"pron(pers,2,sing)+v(fin,pres,aux_cop)",1,0.00267
"pron(pers,2,sing)+v(fin,pres,lex)",1,0.00267
n(prop)+n(sing),1,0.00267
"pron(pers,3,sing)+pron(pers,1,sing)+v(fin,pres,lex)",1,0.00267
adv(inter),1,0.00267
art(indef),1,0.00267
"pron(pers,3,sing)+v(fin,past,lex)",1,0.00267
"pron(pers,3,plu)+v(fin,pres,aux_cop)",1,0.00267
