POS,Nombre d'apparitions,Frequence d'apparition
n(sing),16,0.24242
adp(),5,0.07576
v(infin),5,0.07576
adv(gener),5,0.07576
"v(fin,pres,aux_cop)",5,0.07576
"pron(pers,1,sing)",5,0.07576
pron(poss),4,0.06061
"pron(pers,2,plu)",3,0.04545
adj(),3,0.04545
"v(fin,pres,lex)",2,0.0303
v(imp),2,0.0303
punc(quest),1,0.01515
conj(subord),1,0.01515
n(prop),1,0.01515
pronadv(dem),1,0.01515
pron(dem),1,0.01515
pron(indef),1,0.01515
"v(participle,past)",1,0.01515
conj(coord),1,0.01515
art(def)+adp(),1,0.01515
"v(fin,past,aux_cop)",1,0.01515
n(plu),1,0.01515
