POS,Nombre d'apparitions,Frequence d'apparition
n(sing),40,0.14388
v(infin),27,0.09712
pron(poss),23,0.08273
adp(),21,0.07554
"v(fin,pres,aux_cop)",18,0.06475
n(plu),16,0.05755
"pron(pers,1,sing)",16,0.05755
adv(gener),15,0.05396
conj(coord),15,0.05396
adj(),10,0.03597
"v(participle,past)",8,0.02878
"v(fin,pres,lex)",6,0.02158
adv(neg),6,0.02158
art(def),6,0.02158
interj(),6,0.02158
"pron(pers,2,plu)",6,0.02158
conj(subord),5,0.01799
punc(quest),4,0.01439
pron(dem),4,0.01439
"v(fin,past,lex)",2,0.00719
n(prop),2,0.00719
"pron(pers,3,sing)",2,0.00719
"pron(pers,2,sing)",2,0.00719
art(indef),2,0.00719
v(imp),2,0.00719
misc(),2,0.00719
pron(rel),2,0.00719
"v(fin,past,aux_cop)",2,0.00719
num(indef),1,0.0036
pron(indef),1,0.0036
"pron(pers,1,plu)",1,0.0036
"pron(pers,3,sing)+conj(subord)",1,0.0036
adv(inter),1,0.0036
"pron(refl,2,plu)",1,0.0036
pron(poss)+n(sing),1,0.0036
adv(resum),1,0.0036
