POS,Nombre d'apparitions,Frequence d'apparition
n(sing),84,0.28866
v(infin),23,0.07904
adp(),21,0.07216
n(prop),20,0.06873
conj(coord),15,0.05155
"v(fin,pres,lex)",14,0.04811
adj(),14,0.04811
art(def),13,0.04467
adv(gener),13,0.04467
pron(poss),10,0.03436
"pron(pers,2,plu)",10,0.03436
"v(fin,pres,aux_cop)",10,0.03436
interj(),6,0.02062
art(indef),6,0.02062
v(imp),5,0.01718
"pron(pers,1,sing)",4,0.01375
adv(neg),4,0.01375
n(plu),3,0.01031
"pron(pers,2,sing)",3,0.01031
adv(dem),2,0.00687
num(indef),2,0.00687
conj(comp),1,0.00344
"pron(pers,3,sing)+v(fin,pres,lex)",1,0.00344
"pron(pers,1,sing)+adv(neg)",1,0.00344
pron(indef),1,0.00344
"pron(pers,3,sing)",1,0.00344
conj(subord),1,0.00344
punc(quest),1,0.00344
pron(rel),1,0.00344
"v(fin,past,aux_cop)",1,0.00344
