POS,Nombre d'apparitions,Frequence d'apparition
n(sing),30,0.20979
conj(coord),13,0.09091
v(infin),11,0.07692
adp(),10,0.06993
"v(fin,pres,aux_cop)",10,0.06993
art(def),9,0.06294
adv(gener),8,0.05594
"v(participle,past)",6,0.04196
adj(),5,0.03497
pron(poss),5,0.03497
"v(fin,pres,lex)",4,0.02797
n(prop),4,0.02797
"pron(pers,3,sing)",4,0.02797
"pron(pers,1,plu)",3,0.02098
art(indef),2,0.01399
adv(neg),2,0.01399
n(plu),2,0.01399
"pron(pers,2,plu)",1,0.00699
"v(fin,past,aux_cop)",1,0.00699
art(def)+n(plu),1,0.00699
"pron(refl,3,sing)",1,0.00699
"pron(pers,1,sing)",1,0.00699
pron(dem),1,0.00699
v(imp),1,0.00699
pron(rel),1,0.00699
pronadv(rel),1,0.00699
adv(dem),1,0.00699
"v(participle,pres)",1,0.00699
num(indef),1,0.00699
conj(subord),1,0.00699
"v(fin,past,lex)",1,0.00699
adv(resum),1,0.00699
