POS,Nombre d'apparitions,Frequence d'apparition
n(sing),62,0.29952
pron(poss),15,0.07246
adj(),14,0.06763
adp(),13,0.0628
conj(coord),13,0.0628
adv(gener),12,0.05797
"v(fin,pres,aux_cop)",11,0.05314
"pron(pers,3,sing)",8,0.03865
art(def),6,0.02899
"v(fin,pres,lex)",6,0.02899
v(infin),6,0.02899
art(indef),6,0.02899
"pron(pers,2,plu)",5,0.02415
conj(comp),4,0.01932
n(prop),3,0.01449
conj(subord),2,0.00966
"v(fin,past,lex)",2,0.00966
interj(),2,0.00966
pron(dem),2,0.00966
"v(participle,past)",2,0.00966
num(indef),2,0.00966
pronadv(rel),1,0.00483
art(def)+n(sing),1,0.00483
pron(rel),1,0.00483
"pron(pers,2,sing)",1,0.00483
adv(neg),1,0.00483
"pron(pers,2,plu)+pron(pers,3,sing)",1,0.00483
"pron(pers,1,sing)",1,0.00483
"v(fin,past,aux_cop)",1,0.00483
adv(indef),1,0.00483
adp()+art(def)+n(sing),1,0.00483
adp()+art(def),1,0.00483
