POS,Nombre d'apparitions,Frequence d'apparition
n(sing),44,0.12121
adp(),29,0.07989
v(infin),24,0.06612
"v(fin,pres,aux_cop)",23,0.06336
adj(),19,0.05234
"v(fin,pres,lex)",19,0.05234
conj(coord),18,0.04959
adv(dem),17,0.04683
adv(gener),16,0.04408
adv(neg),14,0.03857
art(def),14,0.03857
n(plu),12,0.03306
"v(participle,past)",9,0.02479
pron(dem),8,0.02204
pron(indef),7,0.01928
n(prop),7,0.01928
pron(poss),6,0.01653
"pron(pers,2,plu)",5,0.01377
adp()+art(def),5,0.01377
conj(comp),5,0.01377
v(imp),4,0.01102
"v(participle,pres)",4,0.01102
"pron(pers,1,plu)",4,0.01102
art(def)+n(sing),4,0.01102
num(card),4,0.01102
"pron(pers,3,plu)",4,0.01102
art(indef),3,0.00826
conj(subord),3,0.00826
"pron(pers,3,sing)",3,0.00826
pron(rel),3,0.00826
"pron(pers,2,sing)",2,0.00551
misc(),2,0.00551
"pron(pers,1,sing)+adv(neg)",2,0.00551
"pron(refl,3,plu)",2,0.00551
"pron(rel)+pron(pers,3,sing)",2,0.00551
"pron(pers,1,plu)+pron(pers,3,sing)",1,0.00275
pronadv(dem),1,0.00275
adv(resum),1,0.00275
art(def)+adp(),1,0.00275
"v(fin,past,lex)",1,0.00275
interj(),1,0.00275
"pron(pers,2,sing)+pron(pers,3,sing)",1,0.00275
adv(inter),1,0.00275
pronadv(rel),1,0.00275
art(def)+adj(),1,0.00275
art(def)+num(card),1,0.00275
"pron(pers,3,plu)+pron(pers,3,sing)",1,0.00275
"pron(rel)+pron(pers,3,plu)",1,0.00275
punc(quest),1,0.00275
num(indef),1,0.00275
pronadv(prep),1,0.00275
