POS,Nombre d'apparitions,Frequence d'apparition
n(sing),40,0.14235
conj(coord),24,0.08541
"v(fin,pres,lex)",22,0.07829
"pron(pers,1,sing)",20,0.07117
adp(),16,0.05694
adv(gener),15,0.05338
v(infin),11,0.03915
adj(),11,0.03915
pron(poss),10,0.03559
interj(),9,0.03203
"pron(pers,2,plu)",9,0.03203
"v(fin,pres,aux_cop)",9,0.03203
"pron(pers,3,sing)",8,0.02847
conj(subord),8,0.02847
n(prop),8,0.02847
adv(neg),8,0.02847
"pron(pers,2,sing)",6,0.02135
"v(participle,past)",6,0.02135
art(def),5,0.01779
pron(rel),5,0.01779
"v(fin,past,lex)",4,0.01423
n(plu),4,0.01423
v(imp),2,0.00712
num(indef),2,0.00712
adv(resum),2,0.00712
pron(dem),2,0.00712
art(indef),2,0.00712
conj(comp),1,0.00356
art(def)+n(sing),1,0.00356
adv(inter),1,0.00356
pron(inter),1,0.00356
pronadv(rel),1,0.00356
pron(indef),1,0.00356
pronadv(inter),1,0.00356
punc(quest),1,0.00356
adv(gener)+adv(gener),1,0.00356
"conj(subord)+pron(pers,3,plu)",1,0.00356
"pron(pers,3,sing)+v(fin,pres,aux_cop)",1,0.00356
"pron(refl,2,sing)",1,0.00356
"v(fin,past,aux_cop)",1,0.00356
