POS,Nombre d'apparitions,Frequence d'apparition
n(sing),45,0.19912
adv(gener),20,0.0885
"v(fin,pres,lex)",18,0.07965
adp(),17,0.07522
adj(),15,0.06637
conj(coord),14,0.06195
pron(poss),13,0.05752
art(def),9,0.03982
"v(fin,pres,aux_cop)",8,0.0354
adv(neg),8,0.0354
"pron(pers,3,sing)",6,0.02655
art(indef),6,0.02655
"v(participle,past)",5,0.02212
v(infin),5,0.02212
adv(dem),4,0.0177
n(plu),4,0.0177
n(prop),4,0.0177
v(imp),4,0.0177
conj(subord),3,0.01327
interj(),3,0.01327
pron(rel),2,0.00885
art(def)+n(sing),2,0.00885
"pron(pers,2,plu)",2,0.00885
pron(indef),2,0.00885
n(sing)+adp(),1,0.00442
pronadv(pers),1,0.00442
"pron(pers,1,sing)+v(fin,past,lex)",1,0.00442
pron(dem),1,0.00442
"pron(pers,3,plu)",1,0.00442
"pron(pers,1,sing)+adv(neg)",1,0.00442
"v(fin,past,lex)",1,0.00442
