POS,Nombre d'apparitions,Frequence d'apparition
n(sing),63,0.26695
adj(),30,0.12712
adv(gener),20,0.08475
adp(),20,0.08475
v(infin),15,0.06356
pron(poss),12,0.05085
conj(coord),11,0.04661
"v(fin,pres,lex)",9,0.03814
"v(participle,past)",7,0.02966
n(plu),6,0.02542
num(indef),5,0.02119
art(def),5,0.02119
art(indef),4,0.01695
art(def)+n(sing),4,0.01695
adp()+art(def),3,0.01271
pron(indef),2,0.00847
"v(participle,pres)",2,0.00847
n(prop),2,0.00847
art(def)+adp(),2,0.00847
adv(neg),2,0.00847
pron(rel)+pron(indef),1,0.00424
"v(fin,past,aux_cop)",1,0.00424
adp()+pron(poss),1,0.00424
pron(rel)+pronadv(pers),1,0.00424
v(prtcl),1,0.00424
conj(subord),1,0.00424
n(sing)+art(def),1,0.00424
"pron(pers,3,sing)",1,0.00424
pron(rel),1,0.00424
v(imp),1,0.00424
"v(fin,pres,aux_cop)",1,0.00424
"v(fin,pres,aux_cop)+pron(pers,3,sing)",1,0.00424
