POS,Nombre d'apparitions,Frequence d'apparition
n(sing),58,0.14758
adp(),39,0.09924
"v(fin,pres,aux_cop)",32,0.08142
v(infin),30,0.07634
adj(),25,0.06361
adv(gener),21,0.05344
"pron(pers,1,sing)",20,0.05089
pron(poss),18,0.0458
art(def),13,0.03308
conj(coord),12,0.03053
conj(subord),11,0.02799
"v(fin,pres,lex)",11,0.02799
"pron(pers,2,plu)",11,0.02799
adv(neg),9,0.0229
"pron(pers,3,sing)",8,0.02036
n(plu),8,0.02036
n(prop),7,0.01781
adv(dem),6,0.01527
"v(participle,past)",6,0.01527
"v(fin,past,lex)",5,0.01272
"pron(pers,2,sing)",5,0.01272
adv(inter),4,0.01018
num(indef),4,0.01018
pron(dem),3,0.00763
"pron(pers,1,plu)",3,0.00763
art(indef),3,0.00763
v(imp),3,0.00763
pron(rel),3,0.00763
interj(),2,0.00509
"pron(pers,3,plu)",2,0.00509
adv(resum),2,0.00509
pronadv(dem),2,0.00509
"pron(pers,3,sing)+v(fin,pres,aux_cop)",2,0.00509
pronadv(rel),1,0.00254
num(card),1,0.00254
pron(indef),1,0.00254
pronadv(prep),1,0.00254
"v(fin,past,aux_cop)",1,0.00254
