POS,Nombre d'apparitions,Frequence d'apparition
n(sing),49,0.17314
adp(),29,0.10247
conj(coord),15,0.053
"v(fin,pres,lex)",15,0.053
v(infin),15,0.053
adv(gener),14,0.04947
pron(poss),14,0.04947
"pron(pers,1,sing)",12,0.0424
"pron(pers,2,plu)",11,0.03887
"v(fin,pres,aux_cop)",11,0.03887
adj(),8,0.02827
art(def),8,0.02827
adv(neg),8,0.02827
"v(fin,past,aux_cop)",6,0.0212
pron(dem),6,0.0212
conj(subord),6,0.0212
art(indef),5,0.01767
n(prop),5,0.01767
"v(participle,past)",5,0.01767
pron(rel),4,0.01413
v(imp),4,0.01413
pron(indef),4,0.01413
"pron(pers,1,plu)",3,0.0106
interj(),3,0.0106
n(plu),3,0.0106
num(indef),3,0.0106
adv(dem),2,0.00707
"pron(pers,3,sing)",2,0.00707
num(card),2,0.00707
"pron(pers,2,sing)",2,0.00707
misc(),2,0.00707
"adv(rel)+pron(pers,3,sing)",1,0.00353
conj(comp),1,0.00353
adv(resum),1,0.00353
"pron(rel)+pron(pers,3,sing)",1,0.00353
"v(fin,past,lex)",1,0.00353
punc(quest),1,0.00353
adp()+n(prop),1,0.00353
