chars,Nombre d'apparitions,Frequence d'apparition
v_pron_n,8,0.04167
n_pron_n,7,0.03646
pron_n_v,7,0.03646
v_adv_v,7,0.03646
v_pron_v,6,0.03125
adv_v_pron,6,0.03125
n_v_adv,5,0.02604
adp_art_n,5,0.02604
n_adp_pron,5,0.02604
v_art_n,5,0.02604
n_n_n,5,0.02604
pron_n_n,5,0.02604
v_conj_v,4,0.02083
n_adp_n,4,0.02083
v_pron_pron,4,0.02083
v_v_pron,4,0.02083
n_conj_n,4,0.02083
art_n_n,4,0.02083
n_adv_v,4,0.02083
art_n_v,4,0.02083
v_adv_n,4,0.02083
pron_v_adv,4,0.02083
n_v_pron,4,0.02083
pron_v_pron,3,0.01562
adj_n_adp,3,0.01562
n_art_n,3,0.01562
conj_v_pron,3,0.01562
pron_n_conj,3,0.01562
adv_adv_v,3,0.01562
adj_v_adv,3,0.01562
art_adj_v,3,0.01562
n_adp_art,3,0.01562
adp_pron_n,3,0.01562
pron_pron_v,3,0.01562
n_n_v,3,0.01562
pron_v_v,3,0.01562
conj_pron_v,3,0.01562
adp_n_conj,3,0.01562
v_v_conj,3,0.01562
n_n_pron,3,0.01562
adv_v_adv,3,0.01562
pron_n_adv,3,0.01562
v_adp_n,3,0.01562
n_v_v,3,0.01562
n_adj_n,3,0.01562
pron_n_adj,3,0.01562
v_adv_adj,2,0.01042
adv_v_conj,2,0.01042
adp_n_adv,2,0.01042
n_adv_adp,2,0.01042
