chars,Nombre d'apparitions,Frequence d'apparition
n_n_n,11,0.06322
n_pron_v,6,0.03448
adp_art_n,6,0.03448
n_art_n,6,0.03448
n_pron_n,6,0.03448
n_conj_n,6,0.03448
n_adp_n,5,0.02874
n_adv_v,5,0.02874
n_n_adp,5,0.02874
art_n_n,5,0.02874
n_n_pron,4,0.02299
v_pron_n,4,0.02299
n_v_pron,4,0.02299
pron_n_pron,4,0.02299
adj_n_adv,4,0.02299
adv_v_n,4,0.02299
art_n_conj,4,0.02299
adv_v_pron,4,0.02299
n_adv_n,3,0.01724
n_conj_pron,3,0.01724
pron_n_adv,3,0.01724
n_adp_art,3,0.01724
v_n_conj,3,0.01724
pron_n_n,3,0.01724
pron_v_adv,3,0.01724
v_pron_adp,3,0.01724
pron_adv_v,3,0.01724
adp_n_n,3,0.01724
pron_n_art,3,0.01724
art_n_v,3,0.01724
n_v_adv,3,0.01724
pron_n_v,3,0.01724
adp_pron_n,3,0.01724
art_n_adp,3,0.01724
conj_n_v,3,0.01724
art_adj_n,2,0.01149
pron_adp_pron,2,0.01149
pron_v_pron,2,0.01149
v_n_n,2,0.01149
pron_v_v,2,0.01149
v_v_n,2,0.01149
v_n_pron,2,0.01149
pron_adj_n,2,0.01149
adp_n_adp,2,0.01149
adv_pron_adv,2,0.01149
adj_n_n,2,0.01149
v_adp_pron,2,0.01149
n_misc_n,2,0.01149
n_n_v,2,0.01149
adv_adj_n,2,0.01149
