chars,Nombre d'apparitions,Frequence d'apparition
n_adv_v,7,0.04268
v_pron_v,6,0.03659
adv_v_pron,6,0.03659
pron_n_n,5,0.03049
conj_pron_pron,5,0.03049
pron_pron_n,5,0.03049
v_pron_pron,5,0.03049
n_n_pron,5,0.03049
art_n_n,4,0.02439
adp_pron_n,4,0.02439
n_v_pron,4,0.02439
n_v_adv,4,0.02439
adp_art_n,4,0.02439
n_conj_pron,4,0.02439
v_pron_n,4,0.02439
pron_n_v,4,0.02439
pron_pron_adv,3,0.01829
pron_v_interj,3,0.01829
n_adp_pron,3,0.01829
pron_n_adp,3,0.01829
n_n_adv,3,0.01829
v_v_pron,3,0.01829
adv_adp_pron,3,0.01829
v_adv_adp,3,0.01829
adv_v_v,3,0.01829
pron_adv_v,3,0.01829
adv_adp_n,3,0.01829
v_pron_adv,3,0.01829
v_v_conj,3,0.01829
pron_adp_pron,3,0.01829
v_pron_adp,3,0.01829
adv_pron_n,3,0.01829
pron_n_adv,3,0.01829
pron_adp_art,3,0.01829
pron_v_pron,3,0.01829
v_adv_adv,3,0.01829
adp_pron_v,2,0.0122
adv_adv_v,2,0.0122
pron_adv_adv,2,0.0122
v_conj_pron,2,0.0122
n_pron_n,2,0.0122
pron_v_n,2,0.0122
n_pron_pron,2,0.0122
n_n_v,2,0.0122
adj_n_v,2,0.0122
pron_adj_n,2,0.0122
pron_pron_adj,2,0.0122
conj_pron_adp,2,0.0122
n_pron_adp,2,0.0122
adv_v_n,2,0.0122
