chars,Nombre d'apparitions,Frequence d'apparition
adp_pron_n,13,0.05652
adp_art_n,9,0.03913
n_art_n,8,0.03478
n_adp_pron,8,0.03478
n_n_v,8,0.03478
n_v_n,6,0.02609
art_n_n,6,0.02609
pron_n_n,6,0.02609
n_adp_n,6,0.02609
art_n_adp,6,0.02609
n_v_conj,5,0.02174
n_pron_n,5,0.02174
v_adv_v,5,0.02174
v_adp_n,5,0.02174
adv_v_v,5,0.02174
n_n_n,5,0.02174
n_v_pron,5,0.02174
v_v_adp,5,0.02174
pron_n_v,5,0.02174
adv_v_adv,5,0.02174
n_v_adv,4,0.01739
pron_n_pron,4,0.01739
n_conj_n,4,0.01739
pron_n_conj,4,0.01739
n_n_pron,4,0.01739
adj_n_v,4,0.01739
art_adj_n,4,0.01739
adp_n_v,4,0.01739
adp_n_n,4,0.01739
n_n_adv,4,0.01739
v_pron_n,4,0.01739
art_n_v,4,0.01739
n_adv_v,4,0.01739
v_n_adp,4,0.01739
pron_adv_v,3,0.01304
adp_n_adp,3,0.01304
pron_v_adp,3,0.01304
n_conj_v,3,0.01304
n_n_conj,3,0.01304
v_n_art,3,0.01304
n_adp_art,3,0.01304
pron_n_adv,3,0.01304
v_adp_art,3,0.01304
n_v_v,3,0.01304
n_n_art,3,0.01304
v_n_n,3,0.01304
adp_n_adv,3,0.01304
adj_adp_n,3,0.01304
v_pron_adv,3,0.01304
v_n_adv,3,0.01304
