chars,Nombre d'apparitions,Frequence d'apparition
v_pron_v,10,0.05747
pron_v_pron,10,0.05747
v_pron_adv,7,0.04023
art_adj_n,6,0.03448
n_v_pron,6,0.03448
v_adv_v,6,0.03448
pron_v_adp,6,0.03448
pron_n_v,5,0.02874
adp_pron_n,5,0.02874
n_conj_pron,4,0.02299
v_pron_pron,4,0.02299
n_adv_v,4,0.02299
adv_v_adv,4,0.02299
v_v_adv,4,0.02299
adv_adv_v,4,0.02299
n_v_v,4,0.02299
art_n_v,4,0.02299
conj_pron_v,4,0.02299
adj_n_v,3,0.01724
n_adp_pron,3,0.01724
art_n_adp,3,0.01724
v_adp_pron,3,0.01724
adv_v_v,3,0.01724
pron_n_adv,3,0.01724
pron_adp_pron,3,0.01724
n_v_adv,3,0.01724
pron_v_adv,3,0.01724
adv_v_pron,3,0.01724
pron_adv_adv,3,0.01724
pron_adv_v,3,0.01724
v_art_n,3,0.01724
v_adv_adj,2,0.01149
adv_v_art,2,0.01149
n_punc_pron,2,0.01149
adv_art_adj,2,0.01149
v_adp_n,2,0.01149
adv_pron_v,2,0.01149
v_adv_pron,2,0.01149
v_pron_adp,2,0.01149
pron_v_art,2,0.01149
v_pron_n,2,0.01149
conj_v_pron,2,0.01149
v_conj_v,2,0.01149
v_v_pron,2,0.01149
adv_pron_n,2,0.01149
v_conj_pron,2,0.01149
n_v_conj,2,0.01149
n_adv_adv,2,0.01149
adj_n_adv,2,0.01149
n_n_punc,2,0.01149
