chars,Nombre d'apparitions,Frequence d'apparition
art_n_n,4,0.05195
n_adv_v,3,0.03896
n_adp_art,3,0.03896
adp_art_n,3,0.03896
n_n_n,3,0.03896
pron_v_v,2,0.02597
conj_adj_n,2,0.02597
n_conj_adj,2,0.02597
pron_n_adp,2,0.02597
n_conj_n,2,0.02597
n_n_adv,2,0.02597
pron_adv_adp,2,0.02597
n_pron_n,2,0.02597
pron_pron_v,2,0.02597
adj_v_pron,2,0.02597
art_n_adv,2,0.02597
n_n_adp,2,0.02597
adj_n_n,2,0.02597
adj_n_num,2,0.02597
v_pron_pron,2,0.02597
adj_adj_n,2,0.02597
adj_art_n,1,0.01299
v_adj_v,1,0.01299
v_v_pron,1,0.01299
v_pron_n,1,0.01299
pron_n_adj,1,0.01299
n_adj_art,1,0.01299
adv_v_n,1,0.01299
n_n_art,1,0.01299
n_art_n,1,0.01299
v_n_n,1,0.01299
n_n_pron,1,0.01299
n_pron_adv,1,0.01299
pron_art_n,1,0.01299
adv_v_adj,1,0.01299
pron_pron_adj,1,0.01299
n_pron_art,1,0.01299
v_n_pron,1,0.01299
adp_v_n,1,0.01299
n_adp_v,1,0.01299
n_adj_adj,1,0.01299
num_n_adj,1,0.01299
n_num_n,1,0.01299
adj_adj_adj,1,0.01299
pron_adj_adj,1,0.01299
n_pron_pron,1,0.01299
art_n_pron,1,0.01299
num_art_n,1,0.01299
adp_num_art,1,0.01299
adv_adp_art,1,0.01299
