chars,Nombre d'apparitions,Frequence d'apparition
n_v_adv,4,0.04598
adv_v_adv,3,0.03448
v_conj_adv,3,0.03448
n_art_n,3,0.03448
art_n_v,3,0.03448
pron_v_adv,3,0.03448
pron_n_adv,3,0.03448
adv_art_adj,2,0.02299
v_v_n,2,0.02299
v_adv_n,2,0.02299
adv_adv_v,2,0.02299
n_pron_v,2,0.02299
n_pron_adp,2,0.02299
adj_n_pron,2,0.02299
conj_adp_n,2,0.02299
pron_adj_n,2,0.02299
n_v_v,2,0.02299
pron_adp_art,2,0.02299
pron_v_v,2,0.02299
adv_pron_n,2,0.02299
adp_pron_v,2,0.02299
art_adj_n,2,0.02299
v_adv_adv,2,0.02299
n_adv_n,2,0.02299
pron_pron_art,2,0.02299
n_adv_v,2,0.02299
adv_v_pron,2,0.02299
v_adv_v,2,0.02299
n_adp_pron,2,0.02299
conj_adv_v,1,0.01149
n_adp_adv,1,0.01149
adp_n_adp,1,0.01149
adv_conj_adp,1,0.01149
adv_adv_conj,1,0.01149
conj_adv_adv,1,0.01149
v_v_conj,1,0.01149
n_n_adp,1,0.01149
v_n_n,1,0.01149
adv_v_n,1,0.01149
num_n_adv,1,0.01149
pron_conj_adv,1,0.01149
v_pron_conj,1,0.01149
n_adv_pron,1,0.01149
adv_n_adv,1,0.01149
adp_num_n,1,0.01149
adv_adp_num,1,0.01149
adv_adv_adp,1,0.01149
adj_n_v,1,0.01149
pron_art_adj,1,0.01149
adp_adv_art,1,0.01149
