chars,Nombre d'apparitions,Frequence d'apparition
v_adv_v,6,0.05769
adv_v_pron,4,0.03846
v_art_n,4,0.03846
pron_adv_v,4,0.03846
adv_v_art,4,0.03846
n_adp_n,4,0.03846
adv_v_adv,4,0.03846
adv_adv_v,3,0.02885
v_pron_v,3,0.02885
art_adj_n,3,0.02885
v_adv_adv,3,0.02885
art_v_adv,3,0.02885
v_art_adj,2,0.01923
pron_v_conj,2,0.01923
adj_pron_v,2,0.01923
pron_v_pron,2,0.01923
v_v_pron,2,0.01923
v_adp_pron,2,0.01923
v_conj_v,2,0.01923
n_n_adp,2,0.01923
v_adp_art,2,0.01923
art_n_adp,2,0.01923
adp_art_n,2,0.01923
adv_pron_adv,2,0.01923
adp_pron_n,2,0.01923
v_pron_adv,2,0.01923
n_n_conj,2,0.01923
n_conj_pron,2,0.01923
adj_n_n,2,0.01923
pron_n_v,2,0.01923
n_v_adv,2,0.01923
pron_v_art,2,0.01923
n_adv_v,2,0.01923
n_adp_pron,1,0.00962
art_adj_conj,1,0.00962
n_adv_pron,1,0.00962
v_n_adv,1,0.00962
adj_v_n,1,0.00962
n_adj_v,1,0.00962
art_n_adj,1,0.00962
art_n_adv,1,0.00962
conj_pron_adv,1,0.00962
pron_n_adp,1,0.00962
v_pron_n,1,0.00962
adv_art_v,1,0.00962
pron_adv_art,1,0.00962
conj_adj_n,1,0.00962
n_conj_adj,1,0.00962
punc_n_conj,1,0.00962
adj_conj_pron,1,0.00962
