chars,Nombre d'apparitions,Frequence d'apparition
v_n_n,3,0.04412
v_adj_n,3,0.04412
adp_v_adj,2,0.02941
n_conj_v,2,0.02941
pron_conj_pron,2,0.02941
conj_pron_pron,2,0.02941
pron_n_conj,2,0.02941
adj_n_conj,2,0.02941
n_conj_adp,2,0.02941
n_n_n,2,0.02941
v_v_n,2,0.02941
n_v_v,2,0.02941
adp_pron_n,2,0.02941
n_v_conj,2,0.02941
pron_adj_v,2,0.02941
art_n_v,2,0.02941
n_n_v,1,0.01471
n_adv_art,1,0.01471
adv_art_adj,1,0.01471
art_adj_conj,1,0.01471
adj_conj_adv,1,0.01471
conj_adv_art,1,0.01471
adv_art_n,1,0.01471
adj_conj_pron,1,0.01471
v_conj_pron,1,0.01471
conj_pron_adp,1,0.01471
pron_adp_adp,1,0.01471
adp_adp_v,1,0.01471
conj_adp_v,1,0.01471
v_adj_conj,1,0.01471
v_adp_pron,1,0.01471
pron_n_adv,1,0.01471
v_conj_art,1,0.01471
adp_v_adp,1,0.01471
adv_pron_adj,1,0.01471
v_v_pron,1,0.01471
v_pron_v,1,0.01471
pron_v_art,1,0.01471
v_art_n,1,0.01471
n_v_adv,1,0.01471
v_adv_pron,1,0.01471
adj_v_n,1,0.01471
v_adp_v,1,0.01471
v_n_v,1,0.01471
conj_art_n,1,0.01471
art_n_adv,1,0.01471
n_adv_v,1,0.01471
adv_v_v,1,0.01471
v_v_adp,1,0.01471
conj_pron_n,1,0.01471
