chars,Nombre d'apparitions,Frequence d'apparition
v_adv_v,7,0.05469
v_conj_pron,6,0.04688
v_n_v,5,0.03906
n_v_adv,4,0.03125
adv_v_v,4,0.03125
v_v_v,4,0.03125
conj_pron_v,4,0.03125
art_adj_v,3,0.02344
v_v_conj,3,0.02344
adv_v_art,3,0.02344
v_adp_v,3,0.02344
adv_v_adv,3,0.02344
v_adv_adp,3,0.02344
adv_pron_adv,3,0.02344
art_adj_adv,3,0.02344
n_v_art,3,0.02344
v_art_n,3,0.02344
n_adp_v,2,0.01562
v_conj_adv,2,0.01562
pron_v_adp,2,0.01562
adp_v_conj,2,0.01562
num_adp_num,2,0.01562
art_n_adp,2,0.01562
v_n_adv,2,0.01562
adp_v_v,2,0.01562
n_adp_n,2,0.01562
adj_v_adv,2,0.01562
n_adv_v,2,0.01562
n_n_adv,2,0.01562
adp_art_adj,2,0.01562
v_conj_v,2,0.01562
conj_v_conj,2,0.01562
art_n_v,2,0.01562
adv_v_conj,2,0.01562
v_art_adj,2,0.01562
n_v_n,2,0.01562
art_v_v,2,0.01562
pronadv_v_adv,2,0.01562
v_adv_art,2,0.01562
adv_art_adj,2,0.01562
adj_adv_pron,2,0.01562
pron_art_v,2,0.01562
adp_n_v,2,0.01562
n_v_v,2,0.01562
adp_num_v,2,0.01562
v_v_adv,2,0.01562
v_adv_pron,2,0.01562
pron_adv_v,2,0.01562
v_art_v,1,0.00781
v_v_num,1,0.00781
