chars,Nombre d'apparitions,Frequence d'apparition
pron_n_pron,6,0.04027
pron_n_v,6,0.04027
n_v_adp,5,0.03356
art_n_v,5,0.03356
n_v_pron,5,0.03356
n_adp_pron,5,0.03356
adp_art_n,4,0.02685
adp_pron_n,4,0.02685
v_adv_v,4,0.02685
v_pron_n,4,0.02685
adp_pron_v,4,0.02685
v_v_pron,4,0.02685
n_conj_pron,4,0.02685
n_pron_v,4,0.02685
pron_adj_n,4,0.02685
adv_n_v,3,0.02013
n_art_n,3,0.02013
pron_n_n,3,0.02013
v_adp_n,3,0.02013
pron_v_adp,3,0.02013
pron_pron_n,3,0.02013
n_pron_n,3,0.02013
conj_pron_n,3,0.02013
pron_v_conj,3,0.02013
v_adp_pron,3,0.02013
n_v_adv,3,0.02013
n_v_v,2,0.01342
n_adv_n,2,0.01342
v_n_v,2,0.01342
n_pron_adv,2,0.01342
art_n_pron,2,0.01342
conj_pron_pron,2,0.01342
adp_n_conj,2,0.01342
art_n_adp,2,0.01342
n_v_n,2,0.01342
n_adp_art,2,0.01342
v_n_adp,2,0.01342
pron_adp_pron,2,0.01342
conj_conj_pron,2,0.01342
pron_art_n,2,0.01342
v_pron_adp,2,0.01342
pron_v_v,2,0.01342
conj_pron_v,2,0.01342
art_n_conj,2,0.01342
v_art_n,2,0.01342
adv_pron_n,2,0.01342
v_adv_pron,2,0.01342
adv_v_adv,2,0.01342
adp_pron_pron,2,0.01342
pron_adv_pron,2,0.01342
