chars,Nombre d'apparitions,Frequence d'apparition
adp_art_n,10,0.07092
n_adv_adp,5,0.03546
conj_art_n,5,0.03546
n_adp_art,5,0.03546
art_n_adv,5,0.03546
v_adp_art,5,0.03546
adv_v_art,4,0.02837
v_art_n,4,0.02837
art_n_v,4,0.02837
adp_n_adp,4,0.02837
art_n_conj,3,0.02128
n_n_adv,3,0.02128
adp_pron_n,3,0.02128
n_v_pron,3,0.02128
v_pron_v,3,0.02128
n_adp_n,3,0.02128
art_n_n,3,0.02128
n_adv_v,3,0.02128
v_n_adp,3,0.02128
n_conj_art,3,0.02128
adv_adp_art,2,0.01418
pron_n_n,2,0.01418
n_n_n,2,0.01418
n_conj_adp,2,0.01418
conj_pron_n,2,0.01418
pron_n_conj,2,0.01418
n_conj_pron,2,0.01418
adv_adp_pron,2,0.01418
num_n_n,2,0.01418
n_n_pron,2,0.01418
v_v_v,2,0.01418
pron_n_v,2,0.01418
adp_num_n,2,0.01418
n_pron_n,2,0.01418
n_adp_v,2,0.01418
v_adp_num,2,0.01418
pron_v_adp,2,0.01418
pron_pron_v,2,0.01418
adp_v_conj,2,0.01418
v_pron_adp,2,0.01418
adv_v_pron,2,0.01418
adp_n_adv,2,0.01418
art_n_num,2,0.01418
adp_v_adp,2,0.01418
n_n_adp,2,0.01418
art_n_adp,2,0.01418
adp_adj_n,2,0.01418
n_adp_adj,2,0.01418
n_v_adp,2,0.01418
n_v_v,2,0.01418
