chars,Nombre d'apparitions,Frequence d'apparition
adj_n_v,2,0.06897
v_v_art,2,0.06897
v_art_pron,1,0.03448
art_n_adj,1,0.03448
v_art_n,1,0.03448
art_v_v,1,0.03448
v_art_v,1,0.03448
pron_v_v,1,0.03448
adv_pron_v,1,0.03448
pron_adv_pron,1,0.03448
v_pron_adv,1,0.03448
n_v_pron,1,0.03448
pron_adj_n,1,0.03448
art_pron_adj,1,0.03448
conj_v_art,1,0.03448
v_conj_v,1,0.03448
n_v_conj,1,0.03448
n_n_v,1,0.03448
n_n_n,1,0.03448
interj_n_n,1,0.03448
n_interj_n,1,0.03448
adj_n_interj,1,0.03448
art_adj_n,1,0.03448
adj_art_adj,1,0.03448
art_adj_art,1,0.03448
n_art_adj,1,0.03448
n_adj_n,1,0.03448
